user_id,item_id
58806189,32329338,1.000000
35522609,373449398,1.000000
16680502,354309086,1.000000
122645273,198540399,1.000000
3927337,220562580,1.000000
139919071,54342172,1.000000
11373921,352047749,1.000000
26036560,263361496,1.000000
33492073,234387870,1.000000
131801027,353003174,1.000000
111314602,132625658,1.000000
109101353,327825322,1.000000
33614419,85720435,1.000000
134112555,114306478,1.000000
51940907,47553313,1.000000
110321077,157911809,1.000000
139015258,323696386,1.000000
123458930,107620509,1.000000
52436117,357516143,1.000000
108556142,9126109,1.000000
48154965,220200950,1.000000
36061742,74614965,1.000000
127803999,338543837,1.000000
36500483,262556646,1.000000
17416117,331971069,1.000000
35788661,46237223,1.000000
19448864,296691592,1.000000
131801027,339958769,1.000000
43121491,118228497,1.000000
14705785,394542549,1.000000
139015258,34088681,1.000000
121351664,397873721,1.000000
64422168,378092857,1.000000
111314602,332947249,1.000000
109451573,140546575,1.000000
10477056,139634678,1.000000
14640189,362084924,1.000000
31231408,107298594,1.000000
115132373,294858436,1.000000
111314602,230738799,1.000000
50203894,207978744,1.000000
61649702,114488075,1.000000
106926524,103427466,1.000000
135602268,286850471,1.000000
110321077,328459828,1.000000
135319764,222889915,1.000000
24554560,314044238,1.000000
111408175,231086728,1.000000
33259765,3116906,1.000000
108807581,335236195,1.000000
106633190,198400340,1.000000
62060897,72798078,1.000000
63569795,119870538,1.000000
122512418,101276445,1.000000
10823697,261274508,1.000000
14640189,16481560,1.000000
124672580,8429059,1.000000
39042380,265334848,1.000000
139887505,303705943,1.000000
119440845,343577597,1.000000
131632535,111314818,1.000000
129641106,93663437,1.000000
141402527,194774883,1.000000
19290917,327731011,1.000000
111314602,186616694,1.000000
139015258,213668346,1.000000
35014327,370292488,1.000000
133381799,168837453,1.000000
49818651,179116993,1.000000
100714423,355710425,1.000000
113976848,304044667,1.000000
47621027,149199429,1.000000
112101175,209468855,1.000000
16215235,337018496,1.000000
107278973,128977859,1.000000
134789373,118754538,1.000000
11373921,205081546,1.000000
107666198,391370954,1.000000
110961790,211026572,1.000000
15280372,84672466,1.000000
50203894,311575057,1.000000
104053975,20195710,1.000000
16513333,343109466,1.000000
139887505,322148587,1.000000
38093885,292529100,1.000000
46554986,181316066,1.000000
106926524,22413575,1.000000
42405007,77752261,1.000000
104721751,53914698,1.000000
142050543,228282329,1.000000
22640271,341019302,1.000000
27433523,2694933,1.000000
100743346,54407133,1.000000
190518,178419246,1.000000
27169453,115920479,1.000000
39042380,301123350,1.000000
50325088,310585641,1.000000
118509561,40115176,1.000000
22926481,137783666,1.000000
120135586,33534822,1.000000
10492218,130620240,1.000000
39865403,1007323,1.000000
106107035,357864072,1.000000
127023906,219105384,1.000000
105321788,153973775,1.000000
4501049,164807023,1.000000
43601696,291980785,1.000000
20030847,361391693,1.000000
16981954,375387338,1.000000
139015258,298972565,1.000000
13366002,72789998,1.000000
126849846,292163827,1.000000
46447790,213998938,1.000000
111392521,265278708,1.000000
41475379,152047465,1.000000
10823697,362386996,1.000000
65014014,191043809,1.000000
112293481,104874407,1.000000
37517027,152682796,1.000000
135843753,175775165,1.000000
137707083,380737493,1.000000
139887505,395611822,1.000000
38134034,141016813,1.000000
14541966,157162169,1.000000
24596113,347673512,1.000000
4501049,284850740,1.000000
46554986,235931476,1.000000
39042380,49439443,1.000000
114328130,322130587,1.000000
139015258,244515997,1.000000
117300095,261736291,1.000000
60196916,70464308,1.000000
101435857,371556526,1.000000
54594113,340150483,1.000000
61605242,213687087,1.000000
43129471,263746545,1.000000
35145016,375387338,1.000000
34712575,28064588,1.000000
3927337,378282848,1.000000
105382949,259631342,1.000000
141311396,23687127,1.000000
44194718,399897591,1.000000
33492073,326446532,1.000000
35453432,214866092,1.000000
62164715,81913020,1.000000
35145016,404031808,1.000000
53139833,155771172,1.000000
135200142,237523052,1.000000
120283318,279336604,1.000000
126487620,364232148,1.000000
111314602,169350604,1.000000
33259765,189898446,1.000000
3927337,2029015,1.000000
139919071,195218052,1.000000
33259765,45931355,1.000000
141043256,120335889,1.000000
133978566,30194495,1.000000
33492073,53439118,1.000000
131632535,153472365,1.000000
137335467,163979004,1.000000
3927337,99798806,1.000000
125817855,293402391,1.000000
134768454,283877736,1.000000
14801623,74173325,1.000000
116523407,241861315,1.000000
53624597,271069990,1.000000
46554986,303732030,1.000000
134768454,77778440,1.000000
41111227,119383056,1.000000
32339254,15140292,1.000000
101435857,70419219,1.000000
102523843,158006629,1.000000
120112729,113206630,1.000000
134238708,178445400,1.000000
135319764,200458893,1.000000
116523407,357925514,1.000000
111314602,219863573,1.000000
40965016,78044428,1.000000
111314602,339969219,1.000000
126376929,17887584,1.000000
136693368,250915667,1.000000
132468080,404481374,1.000000
16088923,139304544,1.000000
54726857,15913185,1.000000
32833684,189171538,1.000000
31872397,219401372,1.000000
43045441,43916019,1.000000
111721663,217585121,1.000000
36415394,335265489,1.000000
123762125,187114557,1.000000
3921637,29670871,1.000000
32105782,76866197,1.000000
